version,time,type,description
0.1, 05/20/2024, New, Create page Home for Report
0.1, 05/23/2024, New, Create page Summary for Report
0.1, 05/25/2024, New, Create page Stores for Report
0.1, 05/26/2024, New, Create page Customers for Report
0.1, 05/28/2024, New, Create page Product for Report
0.1, 05/29/2024, New, Create page Change Log for Report
0.2, 06/01/2024, Update, Update page Home for Report
0.2, 06/01/2024, Update, Update page Summary for Report
0.2, 06/03/2024, Update, Update page Stores for Report
0.2, 06/06/2024, Update, Update page Customers for Report
0.2, 06/08/2024, Update, Update page Product for Report
0.2, 06/09/2024, Update, Update page Change Log for Report

